formula,composition,e0025,e05,e10,band0,band1,spacegroup,mattersim_energy_per_atom,mattersim_e_hull,vasp_energy_per_atom,dft_e_hull,N_excess,band_gap,electride,full_dft_e_hull
Rb6Cl5_s008,Rb6Cl5,0.0,27.287909029868217,28.008505736768573,28.130786323449687,0.0,164,-3.1175641146573154,0.012689547105269,-3.104730266363636,0.0320527220454547,1.0,,True,0.03205272204545473
Y2S1_s042,Y2S1,0.0,13.058021350135965,26.44709654434915,6.824220645718855,23.86911459659435,156,-6.994869232177734,0.0093231201171875,-6.986936563333334,0.0321286944444434,4.0,0.0,True,0.03212869444444344
Na7Cl6_s015,Na7Cl6,0.0,23.51288699324022,23.51288699324022,24.00508132531923,0.0,156,-3.196966317983774,0.0278331499833326,-3.1967478961538465,0.0325056387267905,1.0,0.0,True,0.032505638726790576
Rb5Br4_s001,Rb5Br4,0.0,28.16744761929112,28.88061033286232,28.91318488535206,28.924728478216267,166,-2.8103550098560475,0.019852655905264,-2.805438645925926,0.0326888554629629,1.0,0.0,True,0.03268885546296296
Cs5S1_s057,Cs5S1,0.0,43.19783269055258,43.53298543804143,45.30763412720618,0.0,87,-1.892108917236328,-0.0040250122547149,-1.8822623383333337,0.0328333493678161,3.0,0.0,True,0.0328333493678159
Ba6S5_s004,Ba6S5,25.63383024264848,24.118083826204725,26.500611678208568,25.96657147205008,0.0,123,-4.775341033935547,0.0341737595471469,-4.783425965454546,0.0330731654545441,2.0,0.0,True,0.033073165454544196
Li4P1_s062,Li4P1,63.387728415576646,55.901227332231926,59.70070663502931,54.50603545645816,57.98496548860793,62,-3.1272600173950194,0.042281341552735,-3.1337354435,0.0333218208333336,1.0,0.0,True,0.03332182083333368
Sc7N6_s013,Sc7N6,0.0,21.15921796609669,23.150245417299985,0.0,20.622886366310688,71,-9.003612811748798,0.0101001618674434,-8.994073388846154,0.0333934435972871,3.0,0.0,True,0.03339344359728713
Y4N3_s022,Y4N3,10.133395757949248,28.17878685997642,29.58176150218668,19.947294940005783,31.65998451732162,156,-8.69232177734375,0.0175973347255169,-8.713059885,0.0007191583333323,3.0,0.0,True,0.033394311904761054
Cs8Cl7_s007,Cs8Cl7,50.01162809036482,46.90789035332635,46.90789035332635,45.69001998123069,0.0,69,-3.152318318684896,-0.006572981675466,-3.1248863813333334,0.0333987741379311,1.0,0.03740000000000032,True,0.03339877413793113
Na6Br5_s017,Na6Br5,0.0,26.223980469629137,26.05361329273077,26.71119036352759,0.0,156,-2.864214637062766,0.0321051207455727,-2.866099639090909,0.0335896512225706,1.0,0.0,True,0.03358965122257063
Y2S1_s083,Y2S1,22.511094002363524,46.33121289050887,59.99149612385387,33.58709301386641,55.9899575165522,186,-6.9946238199869795,0.0095685323079424,-6.9854204200000005,0.0336448377777767,4.0,0.0,True,0.033644837777776715
Cs7I6_s014,Cs7I6,0.0,50.28720607142174,50.28720607142174,50.64330511509054,0.0,148,-2.6136104877178488,-0.0223404123232917,-2.578785310769231,0.0337605486206893,1.0,0.0,True,0.033760548620689335
Na6Cl5_s015,Na6Cl5,0.0,27.699151887278266,27.699151887278266,28.12601547783959,0.0,156,-3.1672990972345527,0.0284778638319536,-3.1663821090909092,0.0339816039498428,1.0,0.0,True,0.03398160394984284
Sr2N1_s002,Sr2N1,0.0,60.53294621452886,57.493720115968,63.31130771925404,63.655734840097935,166,-4.438726213243273,4.2385525134136515e-07,-4.417298036666667,0.0341347699999996,1.0,0.0,True,0.03413476999999965
